service_id,date,exception_type
57,20160407,1
57,20160408,2
57,20160409,2
57,20160410,2
57,20160411,2
57,20160412,1
57,20160413,1
57,20160414,1
57,20160415,2
57,20160416,2
57,20160417,2
57,20160418,2
57,20160419,1
57,20160420,1
57,20160421,1
57,20160422,2
57,20160423,2
57,20160424,2
57,20160425,2
57,20160426,1
57,20160427,1
57,20160428,1
57,20160429,2
57,20160430,2
57,20160501,2
57,20160502,2
57,20160503,1
57,20160504,1
57,20160505,2
57,20160506,2
57,20160507,2
57,20160508,2
57,20160509,2
57,20160510,1
57,20160511,1
57,20160512,1
57,20160513,2
57,20160514,2
57,20160515,2
57,20160516,2
57,20160517,2
57,20160518,1
57,20160519,1
57,20160520,2
57,20160521,2
57,20160522,2
57,20160523,2
57,20160524,1
57,20160525,1
57,20160526,1
57,20160527,2
57,20160528,2
57,20160529,2
57,20160530,2
57,20160531,1
57,20160601,1
57,20160602,1
57,20160603,2
57,20160604,2
57,20160605,2
57,20160606,2
57,20160607,1
57,20160608,1
57,20160609,1
57,20160610,2
57,20160611,2
57,20160612,2
57,20160613,2
57,20160614,1
57,20160615,1
57,20160616,1
57,20160617,2
57,20160618,2
57,20160619,2
57,20160620,2
57,20160621,1
57,20160622,1
57,20160623,1
57,20160624,2
58,20160329,1
58,20160330,1
58,20160331,2
58,20160401,1
58,20160402,2
58,20160403,2
58,20160404,2
58,20160405,1
58,20160406,1
58,20160407,2
58,20160408,1
58,20160409,2
58,20160410,2
58,20160411,2
58,20160412,1
58,20160413,1
58,20160414,2
58,20160415,1
58,20160416,2
58,20160417,2
58,20160418,2
58,20160419,1
58,20160420,1
58,20160421,2
58,20160422,1
58,20160423,2
58,20160424,2
58,20160425,2
58,20160426,1
58,20160427,1
58,20160428,2
58,20160429,1
58,20160430,2
58,20160501,2
58,20160502,2
58,20160503,1
58,20160504,1
58,20160505,2
58,20160506,1
58,20160507,2
58,20160508,2
58,20160509,2
58,20160510,1
58,20160511,1
58,20160512,2
58,20160513,1
58,20160514,2
58,20160515,2
58,20160516,2
58,20160517,2
58,20160518,1
58,20160519,2
58,20160520,1
58,20160521,2
58,20160522,2
58,20160523,2
58,20160524,1
58,20160525,1
58,20160526,2
58,20160527,1
58,20160528,2
58,20160529,2
58,20160530,2
58,20160531,1
58,20160601,1
58,20160602,2
58,20160603,1
58,20160604,2
58,20160605,2
58,20160606,2
58,20160607,1
58,20160608,1
58,20160609,2
58,20160610,1
58,20160611,2
58,20160612,2
58,20160613,2
58,20160614,1
58,20160615,1
58,20160616,2
58,20160617,1
58,20160618,2
58,20160619,2
58,20160620,2
58,20160621,1
58,20160622,1
58,20160623,2
58,20160624,1
59,20160329,1
59,20160330,1
59,20160331,2
59,20160401,2
59,20160402,2
59,20160403,2
59,20160404,1
59,20160405,1
59,20160406,1
59,20160407,2
59,20160408,2
59,20160409,2
59,20160410,2
59,20160411,1
59,20160412,1
59,20160413,1
59,20160414,2
59,20160415,2
59,20160416,2
59,20160417,2
59,20160418,1
59,20160419,1
59,20160420,1
59,20160421,2
59,20160422,2
59,20160423,2
59,20160424,2
59,20160425,1
59,20160426,1
59,20160427,1
59,20160428,2
59,20160429,2
59,20160430,2
59,20160501,2
59,20160502,1
59,20160503,1
59,20160504,1
59,20160505,2
59,20160506,2
59,20160507,2
59,20160508,2
59,20160509,1
59,20160510,1
59,20160511,1
59,20160512,2
59,20160513,2
59,20160514,2
59,20160515,2
59,20160516,2
59,20160517,2
59,20160518,1
59,20160519,2
59,20160520,2
59,20160521,2
59,20160522,2
59,20160523,1
